sentence1	sentence2	heuristic	gold_label	data	
De jongvolwassenen achter de boa's zijn geslagen 	De boa's zijn geslagen 	CONTRADICTION	subsequence	TEST
De studenten dichtbij de leerlingen zijn getrokken 	De leerlingen zijn getrokken 	CONTRADICTION	subsequence	TEST
De fotografen naast de mannen zijn gesneden 	De mannen zijn gesneden 	CONTRADICTION	subsequence	TEST
De boa's voor de mimespelers zijn gescheiden 	De mimespelers zijn gescheiden 	CONTRADICTION	subsequence	TRAIN
De leerlingen voor de dochters zijn gegoten 	De dochters zijn gegoten 	CONTRADICTION	subsequence	TEST
De mannen voor de boa's zijn gegoten 	De boa's zijn gegoten 	CONTRADICTION	subsequence	TEST
De leerlingen dichtbij de jongens zijn gegeven 	De jongens zijn gegeven 	CONTRADICTION	subsequence	TEST
De vrouwen dichtbij de fotografen zijn getrokken 	De fotografen zijn getrokken 	CONTRADICTION	subsequence	TEST
De motorrijders achter de fotografen zijn getrokken 	De fotografen zijn getrokken 	CONTRADICTION	subsequence	TEST
De studenten achter de leerlingen zijn gesneden 	De leerlingen zijn gesneden 	CONTRADICTION	subsequence	TEST
De spelers voor de boa's zijn gesneden 	De boa's zijn gesneden 	CONTRADICTION	subsequence	TEST
De jongens voor de leerlingen zijn geslagen 	De leerlingen zijn geslagen 	CONTRADICTION	subsequence	TEST
De vrouwen voor de jongens zijn geslagen 	De jongens zijn geslagen 	CONTRADICTION	subsequence	TRAIN
De vrouwen dichtbij de fietsers zijn getrokken 	De fietsers zijn getrokken 	CONTRADICTION	subsequence	TEST
De leerlingen dichtbij de klimmers zijn getrokken 	De klimmers zijn getrokken 	CONTRADICTION	subsequence	TRAIL
De studenten voor de dochters zijn gegoten 	De dochters zijn gegoten 	CONTRADICTION	subsequence	TEST
De spelers voor de hardlopers zijn gegeven 	De hardlopers zijn gegeven 	CONTRADICTION	subsequence	TEST
De studenten achter de fotografen zijn geholpen 	De fotografen zijn geholpen 	CONTRADICTION	subsequence	TEST
De vrouwen dichtbij de spelers zijn getrokken 	De spelers zijn getrokken 	CONTRADICTION	subsequence	TEST
De mannen voor de fietsers zijn gegeven 	De fietsers zijn gegeven 	CONTRADICTION	subsequence	TEST
De studenten achter de soldaten zijn gegoten 	De soldaten zijn gegoten 	CONTRADICTION	subsequence	TEST
De mannen naast de fotografen zijn geholpen 	De fotografen zijn geholpen 	CONTRADICTION	subsequence	TRAIN
De studenten voor de vrouwen zijn getrokken 	De vrouwen zijn getrokken 	CONTRADICTION	subsequence	TEST
De spelers dichtbij de jongvolwassenen zijn getrokken 	De jongvolwassenen zijn getrokken 	CONTRADICTION	subsequence	TEST
De fietsers naast de mimespelers zijn getrokken 	De mimespelers zijn getrokken 	CONTRADICTION	subsequence	TEST
De leerlingen achter de fotografen zijn gegeven 	De fotografen zijn gegeven 	CONTRADICTION	subsequence	TEST
De fietsers voor de spelers zijn gesneden 	De spelers zijn gesneden 	CONTRADICTION	subsequence	TEST
De hardlopers achter de mimespelers zijn gescheiden 	De mimespelers zijn gescheiden 	CONTRADICTION	subsequence	TEST
De fotografen voor de studenten zijn geslagen 	De studenten zijn geslagen 	CONTRADICTION	subsequence	TEST
De soldaten dichtbij de dochters zijn gegoten 	De dochters zijn gegoten 	CONTRADICTION	subsequence	TRAIL
De jongens dichtbij de boa's zijn gegeven 	De boa's zijn gegeven 	CONTRADICTION	subsequence	TEST
De klimmers naast de jongens zijn gegeven 	De jongens zijn gegeven 	CONTRADICTION	subsequence	TEST
De studenten achter de motorrijders zijn gegeven 	De motorrijders zijn gegeven 	CONTRADICTION	subsequence	TEST
De jongens dichtbij de klimmers zijn gesneden 	De klimmers zijn gesneden 	CONTRADICTION	subsequence	TEST
De fietsers naast de boa's zijn geslagen 	De boa's zijn geslagen 	CONTRADICTION	subsequence	TEST
De boa's voor de fietsers zijn gebeten 	De fietsers zijn gebeten 	CONTRADICTION	subsequence	TEST
De mimespelers voor de hardlopers zijn geholpen 	De hardlopers zijn geholpen 	CONTRADICTION	subsequence	TEST
De hardlopers naast de spelers zijn gesneden 	De spelers zijn gesneden 	CONTRADICTION	subsequence	TEST
De spelers voor de fotografen zijn gegeven 	De fotografen zijn gegeven 	CONTRADICTION	subsequence	TEST
De jongens naast de soldaten zijn gebeten 	De soldaten zijn gebeten 	CONTRADICTION	subsequence	TEST
De spelers dichtbij de jongvolwassenen zijn geslagen 	De jongvolwassenen zijn geslagen 	CONTRADICTION	subsequence	TRAIN
De spelers achter de boa's zijn geslagen 	De boa's zijn geslagen 	CONTRADICTION	subsequence	TEST
De hardlopers dichtbij de mannen zijn geholpen 	De mannen zijn geholpen 	CONTRADICTION	subsequence	TEST
De fotografen naast de jongens zijn gegoten 	De jongens zijn gegoten 	CONTRADICTION	subsequence	TEST
De leerlingen achter de vrouwen zijn geslagen 	De vrouwen zijn geslagen 	CONTRADICTION	subsequence	TEST
De soldaten achter de vrouwen zijn gesneden 	De vrouwen zijn gesneden 	CONTRADICTION	subsequence	TEST
De leerlingen dichtbij de jongens zijn geholpen 	De jongens zijn geholpen 	CONTRADICTION	subsequence	TEST
De motorrijders voor de studenten zijn geslagen 	De studenten zijn geslagen 	CONTRADICTION	subsequence	TEST
De vrouwen achter de jongvolwassenen zijn gegeven 	De jongvolwassenen zijn gegeven 	CONTRADICTION	subsequence	TEST
De fotografen voor de jongvolwassenen zijn getrokken 	De jongvolwassenen zijn getrokken 	CONTRADICTION	subsequence	TEST
De klimmers achter de mannen zijn getrokken 	De mannen zijn getrokken 	CONTRADICTION	subsequence	TEST
De hardlopers naast de fotografen zijn geholpen 	De fotografen zijn geholpen 	CONTRADICTION	subsequence	TEST
De fotografen voor de leerlingen zijn gesneden 	De leerlingen zijn gesneden 	CONTRADICTION	subsequence	TEST
De mannen naast de vrouwen zijn gesneden 	De vrouwen zijn gesneden 	CONTRADICTION	subsequence	TEST
De vrouwen naast de motorrijders zijn geslagen 	De motorrijders zijn geslagen 	CONTRADICTION	subsequence	TEST
De dochters achter de jongvolwassenen zijn gescheiden 	De jongvolwassenen zijn gescheiden 	CONTRADICTION	subsequence	TEST
De mannen voor de spelers zijn getrokken 	De spelers zijn getrokken 	CONTRADICTION	subsequence	TRAIN
De motorrijders voor de fotografen zijn gegeven 	De fotografen zijn gegeven 	CONTRADICTION	subsequence	TEST
De fietsers voor de soldaten zijn gebeten 	De soldaten zijn gebeten 	CONTRADICTION	subsequence	TEST
De spelers naast de hardlopers zijn getrokken 	De hardlopers zijn getrokken 	CONTRADICTION	subsequence	TEST
De hardlopers achter de soldaten zijn gegeven 	De soldaten zijn gegeven 	CONTRADICTION	subsequence	TEST
De boa's dichtbij de soldaten zijn geslagen 	De soldaten zijn geslagen 	CONTRADICTION	subsequence	TRAIL
De studenten naast de jongens zijn gegoten 	De jongens zijn gegoten 	CONTRADICTION	subsequence	TEST
De fietsers naast de hardlopers zijn gescheiden 	De hardlopers zijn gescheiden 	CONTRADICTION	subsequence	TRAIL
De jongens dichtbij de spelers zijn gescheiden 	De spelers zijn gescheiden 	CONTRADICTION	subsequence	TEST
De mimespelers voor de fietsers zijn gescheiden 	De fietsers zijn gescheiden 	CONTRADICTION	subsequence	TEST
De hardlopers voor de motorrijders zijn getrokken 	De motorrijders zijn getrokken 	CONTRADICTION	subsequence	TEST
De spelers wie de hardlopers worstelen knuffelen de fietsers 	De hardlopers knuffelen de fietsers 	CONTRADICTION	subsequence	TRAIN
De boa's wie de dochters duelleren snuffelen de hardlopers 	De dochters snuffelen de hardlopers 	CONTRADICTION	subsequence	TEST
De motorrijders wie de jongvolwassenen verlaten leren de jongens 	De jongvolwassenen leren de jongens 	CONTRADICTION	subsequence	TEST
De mimespelers wie de mannen gooien snuffelen de boa's 	De mannen snuffelen de boa's 	CONTRADICTION	subsequence	TEST
De klimmers wie de soldaten studeren duelleren de hardlopers 	De soldaten duelleren de hardlopers 	CONTRADICTION	subsequence	TEST
De fotografen wie de motorrijders breken verpletteren de boa's 	De motorrijders verpletteren de boa's 	CONTRADICTION	subsequence	TEST
De motorrijders wie de spelers dragen snuffelen de hardlopers 	De spelers snuffelen de hardlopers 	CONTRADICTION	subsequence	TEST
De jongens wie de jongvolwassenen telefoneren voeren de boa's 	De jongvolwassenen voeren de boa's 	CONTRADICTION	subsequence	TEST
De mimespelers wie de boa's tekenen vangen de dochters 	De boa's vangen de dochters 	CONTRADICTION	subsequence	TEST
De vrouwen wie de fotografen dragen voeren de mannen 	De fotografen voeren de mannen 	CONTRADICTION	subsequence	TEST
De soldaten wie de studenten gooien studeren de boa's 	De studenten studeren de boa's 	CONTRADICTION	subsequence	TRAIN
De jongvolwassenen wie de mimespelers duelleren telefoneren de motorrijders 	De mimespelers telefoneren de motorrijders 	CONTRADICTION	subsequence	TEST
De hardlopers wie de mannen redden verpletteren de dochters 	De mannen verpletteren de dochters 	CONTRADICTION	subsequence	TEST
De mannen wie de boa's trouwen worstelen de hardlopers 	De boa's worstelen de hardlopers 	CONTRADICTION	subsequence	TRAIL
De boa's wie de vrouwen leren tekenen de jongvolwassenen 	De vrouwen tekenen de jongvolwassenen 	CONTRADICTION	subsequence	TEST
De boa's wie de fietsers verlaten tekenen de motorrijders 	De fietsers tekenen de motorrijders 	CONTRADICTION	subsequence	TEST
De vrouwen wie de mannen worstelen dragen de dochters 	De mannen dragen de dochters 	CONTRADICTION	subsequence	TEST
De spelers wie de dochters borstelen verpletteren de hardlopers 	De dochters verpletteren de hardlopers 	CONTRADICTION	subsequence	TRAIL
De jongvolwassenen wie de jongens snuffelen studeren de soldaten 	De jongens studeren de soldaten 	CONTRADICTION	subsequence	TRAIN
De motorrijders wie de fietsers verlaten trekken de leerlingen 	De fietsers trekken de leerlingen 	CONTRADICTION	subsequence	TEST
De dochters wie de studenten gooien breken de spelers 	De studenten breken de spelers 	CONTRADICTION	subsequence	TEST
De hardlopers wie de klimmers trouwen tekenen de motorrijders 	De klimmers tekenen de motorrijders 	CONTRADICTION	subsequence	TRAIL
De dochters wie de boa's trekken verlaten de vrouwen 	De boa's verlaten de vrouwen 	CONTRADICTION	subsequence	TRAIL
De klimmers wie de motorrijders breken dragen de jongvolwassenen 	De motorrijders dragen de jongvolwassenen 	CONTRADICTION	subsequence	TEST
De hardlopers wie de mimespelers gooien studeren de vrouwen 	De mimespelers studeren de vrouwen 	CONTRADICTION	subsequence	TEST
De fotografen wie de boa's borstelen verlaten de hardlopers 	De boa's verlaten de hardlopers 	CONTRADICTION	subsequence	TEST
De hardlopers wie de vrouwen verpletteren worstelen de dochters 	De vrouwen worstelen de dochters 	CONTRADICTION	subsequence	TEST
De leerlingen wie de dochters zagen breken de fotografen 	De dochters breken de fotografen 	CONTRADICTION	subsequence	TEST
De fotografen wie de hardlopers gooien verpletteren de jongvolwassenen 	De hardlopers verpletteren de jongvolwassenen 	CONTRADICTION	subsequence	TEST
De jongvolwassenen wie de hardlopers borstelen telefoneren de studenten 	De hardlopers telefoneren de studenten 	CONTRADICTION	subsequence	TEST
De jongens wie de vrouwen worstelen voeren de fietsers 	De vrouwen voeren de fietsers 	CONTRADICTION	subsequence	TEST
De dochters wie de klimmers studeren trekken de mannen 	De klimmers trekken de mannen 	CONTRADICTION	subsequence	TEST
De jongvolwassenen wie de boa's verlaten tekenen de spelers 	De boa's tekenen de spelers 	CONTRADICTION	subsequence	TEST
De vrouwen wie de hardlopers vangen telefoneren de leerlingen 	De hardlopers telefoneren de leerlingen 	CONTRADICTION	subsequence	TEST
De jongens wie de mimespelers verlaten snuffelen de hardlopers 	De mimespelers snuffelen de hardlopers 	CONTRADICTION	subsequence	TEST
De studenten wie de hardlopers studeren redden de jongens 	De hardlopers redden de jongens 	CONTRADICTION	subsequence	TRAIN
De jongvolwassenen wie de leerlingen zagen dragen de motorrijders 	De leerlingen dragen de motorrijders 	CONTRADICTION	subsequence	TEST
De dochters wie de jongens vangen breken de mimespelers 	De jongens breken de mimespelers 	CONTRADICTION	subsequence	TRAIN
De mannen wie de hardlopers vangen telefoneren de fotografen 	De hardlopers telefoneren de fotografen 	CONTRADICTION	subsequence	TEST
De mimespelers wie de vrouwen gooien zagen de spelers 	De vrouwen zagen de spelers 	CONTRADICTION	subsequence	TEST
De soldaten wie de vrouwen worstelen trekken de fotografen 	De vrouwen trekken de fotografen 	CONTRADICTION	subsequence	TEST
De fietsers wie de spelers verpletteren telefoneren de dochters 	De spelers telefoneren de dochters 	CONTRADICTION	subsequence	TEST
De soldaten wie de klimmers snuffelen redden de fotografen 	De klimmers redden de fotografen 	CONTRADICTION	subsequence	TEST
De studenten wie de leerlingen dragen duelleren de dochters 	De leerlingen duelleren de dochters 	CONTRADICTION	subsequence	TEST
De boa's wie de leerlingen verpletteren ontwijken de mannen 	De leerlingen ontwijken de mannen 	CONTRADICTION	subsequence	TEST
De fotografen wie de jongens gooien breken de hardlopers 	De jongens breken de hardlopers 	CONTRADICTION	subsequence	TEST
De leerlingen wie de vrouwen trouwen schoppen de fietsers 	De vrouwen schoppen de fietsers 	CONTRADICTION	subsequence	TEST
De soldaten wie de klimmers zagen verpletteren de vrouwen 	De klimmers verpletteren de vrouwen 	CONTRADICTION	subsequence	TEST
De soldaten wie de spelers voeren trekken de motorrijders 	De spelers trekken de motorrijders 	CONTRADICTION	subsequence	TRAIN
De jongens wie de jongvolwassenen ontwijken redden de boa's 	De jongvolwassenen redden de boa's 	CONTRADICTION	subsequence	TEST
De studenten wie de dochters verpletteren gooien de soldaten 	De dochters gooien de soldaten 	CONTRADICTION	subsequence	TEST
De spelers wie de fietsers dragen ontwijken de leerlingen 	De fietsers ontwijken de leerlingen 	CONTRADICTION	subsequence	TEST
De mimespelers wie de fotografen trouwen redden de leerlingen 	De fotografen redden de leerlingen 	CONTRADICTION	subsequence	TEST
De fietsers wie de klimmers leren trekken de spelers 	De klimmers trekken de spelers 	CONTRADICTION	subsequence	TEST
De boa's wie de fietsers borstelen breken de studenten 	De fietsers breken de studenten 	CONTRADICTION	subsequence	TEST
De jongens wie de jongvolwassenen schoppen leren de vrouwen 	De jongvolwassenen leren de vrouwen 	CONTRADICTION	subsequence	TEST
De leerlingen wie de dochters borstelen redden de soldaten 	De dochters redden de soldaten 	CONTRADICTION	subsequence	TEST
De studenten wie de mannen ontwijken duelleren de fietsers 	De mannen duelleren de fietsers 	CONTRADICTION	subsequence	TEST
De hardlopers wie de studenten snuffelen breken de fietsers 	De studenten breken de fietsers 	CONTRADICTION	subsequence	TRAIL
De vrouwen wie de klimmers borstelen vangen de studenten 	De klimmers vangen de studenten 	CONTRADICTION	subsequence	TRAIL
De fotografen wie de vrouwen borstelen trekken de boa's 	De vrouwen trekken de boa's 	CONTRADICTION	subsequence	TEST
De fotografen wie de klimmers trouwen tekenen de spelers 	De klimmers tekenen de spelers 	CONTRADICTION	subsequence	TEST
De spelers wie de vrouwen trekken worstelen de mannen 	De vrouwen worstelen de mannen 	CONTRADICTION	subsequence	TEST
De mimespelers wie de studenten borstelen ontwijken de boa's 	De studenten ontwijken de boa's 	CONTRADICTION	subsequence	TEST
De motorrijders wie de vrouwen verlaten breken de studenten 	De vrouwen breken de studenten 	CONTRADICTION	subsequence	TEST
De fotografen wie de mannen dragen tekenen de fietsers 	De mannen tekenen de fietsers 	CONTRADICTION	subsequence	TEST
De jongens wie de jongvolwassenen duelleren vangen de hardlopers 	De jongvolwassenen vangen de hardlopers 	CONTRADICTION	subsequence	TEST
De boa's wie de spelers schoppen verlaten de fotografen 	De spelers verlaten de fotografen 	CONTRADICTION	subsequence	TRAIN
De boa's wie de klimmers trouwen verpletteren de fotografen 	De klimmers verpletteren de fotografen 	CONTRADICTION	subsequence	TEST
De jongvolwassenen wie de soldaten snuffelen gooien de spelers 	De soldaten gooien de spelers 	CONTRADICTION	subsequence	TEST
De studenten wie de klimmers knuffelen leren de spelers 	De klimmers leren de spelers 	CONTRADICTION	subsequence	TEST
De studenten wie de leerlingen schoppen snuffelen de klimmers 	De leerlingen snuffelen de klimmers 	CONTRADICTION	subsequence	TEST
De studenten wie de klimmers tekenen leren de fietsers 	De klimmers leren de fietsers 	CONTRADICTION	subsequence	TEST
De soldaten wie de vrouwen zagen knuffelen de leerlingen 	De vrouwen knuffelen de leerlingen 	CONTRADICTION	subsequence	TRAIL
De fotografen wie de spelers tekenen duelleren de mimespelers 	De spelers duelleren de mimespelers 	CONTRADICTION	subsequence	TEST
De fietsers wie de jongens knuffelen redden de motorrijders 	De jongens redden de motorrijders 	CONTRADICTION	subsequence	TEST
De motorrijders wie de spelers breken verlaten de mimespelers 	De spelers verlaten de mimespelers 	CONTRADICTION	subsequence	TEST
De boa's wie de vrouwen redden leren de fotografen 	De vrouwen leren de fotografen 	CONTRADICTION	subsequence	TEST
De soldaten wie de fietsers borstelen schoppen de jongens 	De fietsers schoppen de jongens 	CONTRADICTION	subsequence	TEST
De spelers wie de mannen gooien trekken de dochters 	De mannen trekken de dochters 	CONTRADICTION	subsequence	TEST
De leerlingen wie de fietsers leren telefoneren de mannen 	De fietsers telefoneren de mannen 	CONTRADICTION	subsequence	TEST
De fietsers wie de klimmers vangen snuffelen de jongens 	De klimmers snuffelen de jongens 	CONTRADICTION	subsequence	TEST
De hardlopers wie de dochters ontwijken borstelen de mannen 	De dochters borstelen de mannen 	CONTRADICTION	subsequence	TEST
De jongens wie de vrouwen ontwijken tekenen de dochters 	De vrouwen tekenen de dochters 	CONTRADICTION	subsequence	TEST
De dochters wie de mimespelers breken telefoneren de vrouwen 	De mimespelers telefoneren de vrouwen 	CONTRADICTION	subsequence	TEST
De mimespelers wie de studenten vangen borstelen de leerlingen 	De studenten borstelen de leerlingen 	CONTRADICTION	subsequence	TEST
De motorrijders wie de jongens leren ontwijken de mannen 	De jongens ontwijken de mannen 	CONTRADICTION	subsequence	TEST
De mimespelers wie de soldaten telefoneren worstelen de studenten 	De soldaten worstelen de studenten 	CONTRADICTION	subsequence	TEST
De soldaten wie de vrouwen redden trekken de dochters 	De vrouwen trekken de dochters 	CONTRADICTION	subsequence	TEST
De spelers wie de leerlingen dragen borstelen de jongens 	De leerlingen borstelen de jongens 	CONTRADICTION	subsequence	TRAIL
De jongens wie de fotografen verpletteren studeren de mannen 	De fotografen studeren de mannen 	CONTRADICTION	subsequence	TEST
De mimespelers wie de vrouwen gooien verpletteren de fotografen 	De vrouwen verpletteren de fotografen 	CONTRADICTION	subsequence	TEST
De fotografen wie de studenten breken redden de mimespelers 	De studenten redden de mimespelers 	CONTRADICTION	subsequence	TEST
De motorrijders wie de boa's trouwen trekken de soldaten 	De boa's trekken de soldaten 	CONTRADICTION	subsequence	TEST
De studenten wie de mannen trouwen vangen de dochters 	De mannen vangen de dochters 	CONTRADICTION	subsequence	TRAIN
De jongvolwassenen wie de klimmers breken snuffelen de spelers 	De klimmers snuffelen de spelers 	CONTRADICTION	subsequence	TEST
De mimespelers wie de klimmers snuffelen redden de fotografen 	De klimmers redden de fotografen 	CONTRADICTION	subsequence	TEST
De boa's wie de mannen verlaten redden de fotografen 	De mannen redden de fotografen 	CONTRADICTION	subsequence	TEST
De vrouwen wie de fotografen leren tekenen de leerlingen 	De fotografen tekenen de leerlingen 	CONTRADICTION	subsequence	TEST
De dochters wie de mannen duelleren worstelen de motorrijders 	De mannen worstelen de motorrijders 	CONTRADICTION	subsequence	TEST
De jongvolwassenen en de dochters redden 	De dochters redden 	ENTAILMENT	subsequence	TEST
De boa's en de hardlopers telefoneren 	De hardlopers telefoneren 	ENTAILMENT	subsequence	TEST
De klimmers en de boa's schoppen 	De boa's schoppen 	ENTAILMENT	subsequence	TEST
De dochters en de fotografen leren 	De fotografen leren 	ENTAILMENT	subsequence	TRAIL
De mannen en de motorrijders zagen 	De motorrijders zagen 	ENTAILMENT	subsequence	TEST
De klimmers en de spelers trouwen 	De spelers trouwen 	ENTAILMENT	subsequence	TEST
De mannen en de soldaten trouwen 	De soldaten trouwen 	ENTAILMENT	subsequence	TEST
De jongens en de vrouwen vangen 	De vrouwen vangen 	ENTAILMENT	subsequence	TEST
De vrouwen en de soldaten dragen 	De soldaten dragen 	ENTAILMENT	subsequence	TEST
De vrouwen en de fotografen vangen 	De fotografen vangen 	ENTAILMENT	subsequence	TEST
De leerlingen en de boa's duelleren 	De boa's duelleren 	ENTAILMENT	subsequence	TRAIN
De jongens en de jongvolwassenen duelleren 	De jongvolwassenen duelleren 	ENTAILMENT	subsequence	TEST
De fotografen en de spelers trouwen 	De spelers trouwen 	ENTAILMENT	subsequence	TEST
De leerlingen en de dochters worstelen 	De dochters worstelen 	ENTAILMENT	subsequence	TEST
De leerlingen en de motorrijders trekken 	De motorrijders trekken 	ENTAILMENT	subsequence	TEST
De hardlopers en de spelers verpletteren 	De spelers verpletteren 	ENTAILMENT	subsequence	TEST
De leerlingen en de mannen redden 	De mannen redden 	ENTAILMENT	subsequence	TEST
De boa's en de studenten redden 	De studenten redden 	ENTAILMENT	subsequence	TEST
De studenten en de fietsers zagen 	De fietsers zagen 	ENTAILMENT	subsequence	TEST
De leerlingen en de motorrijders breken 	De motorrijders breken 	ENTAILMENT	subsequence	TEST
De jongens en de hardlopers leren 	De hardlopers leren 	ENTAILMENT	subsequence	TEST
De spelers en de soldaten studeren 	De soldaten studeren 	ENTAILMENT	subsequence	TEST
De jongens en de mannen snuffelen 	De mannen snuffelen 	ENTAILMENT	subsequence	TRAIN
De soldaten en de mannen studeren 	De mannen studeren 	ENTAILMENT	subsequence	TEST
De dochters en de fietsers trouwen 	De fietsers trouwen 	ENTAILMENT	subsequence	TEST
De jongvolwassenen en de jongens redden 	De jongens redden 	ENTAILMENT	subsequence	TEST
De klimmers en de mannen trouwen 	De mannen trouwen 	ENTAILMENT	subsequence	TEST
De fotografen en de dochters duelleren 	De dochters duelleren 	ENTAILMENT	subsequence	TEST
De spelers en de studenten zagen 	De studenten zagen 	ENTAILMENT	subsequence	TEST
De spelers en de mimespelers duelleren 	De mimespelers duelleren 	ENTAILMENT	subsequence	TEST
De mimespelers en de motorrijders telefoneren 	De motorrijders telefoneren 	ENTAILMENT	subsequence	TEST
De hardlopers en de motorrijders verlaten 	De motorrijders verlaten 	ENTAILMENT	subsequence	TEST
De vrouwen en de boa's worstelen 	De boa's worstelen 	ENTAILMENT	subsequence	TRAIL
De klimmers en de fietsers zagen 	De fietsers zagen 	ENTAILMENT	subsequence	TRAIL
De studenten en de mimespelers duelleren 	De mimespelers duelleren 	ENTAILMENT	subsequence	TRAIL
De klimmers en de boa's verlaten 	De boa's verlaten 	ENTAILMENT	subsequence	TEST
De spelers en de studenten voeren 	De studenten voeren 	ENTAILMENT	subsequence	TEST
De vrouwen en de soldaten ontwijken 	De soldaten ontwijken 	ENTAILMENT	subsequence	TEST
De boa's en de fietsers knuffelen 	De fietsers knuffelen 	ENTAILMENT	subsequence	TRAIL
De fotografen en de jongens redden 	De jongens redden 	ENTAILMENT	subsequence	TEST
De mimespelers en de jongens gooien 	De jongens gooien 	ENTAILMENT	subsequence	TEST
De mannen en de hardlopers zagen 	De hardlopers zagen 	ENTAILMENT	subsequence	TEST
De boa's en de klimmers zagen 	De klimmers zagen 	ENTAILMENT	subsequence	TEST
De soldaten en de jongens telefoneren 	De jongens telefoneren 	ENTAILMENT	subsequence	TRAIN
De spelers en de klimmers breken 	De klimmers breken 	ENTAILMENT	subsequence	TEST
De fotografen en de studenten snuffelen 	De studenten snuffelen 	ENTAILMENT	subsequence	TEST
De mimespelers en de klimmers breken 	De klimmers breken 	ENTAILMENT	subsequence	TEST
De spelers en de hardlopers breken 	De hardlopers breken 	ENTAILMENT	subsequence	TEST
De fotografen en de motorrijders leren 	De motorrijders leren 	ENTAILMENT	subsequence	TRAIL
De motorrijders en de mimespelers ontwijken 	De mimespelers ontwijken 	ENTAILMENT	subsequence	TEST
De studenten en de hardlopers voeren 	De hardlopers voeren 	ENTAILMENT	subsequence	TEST
De studenten en de spelers leren 	De spelers leren 	ENTAILMENT	subsequence	TEST
De vrouwen en de boa's tekenen 	De boa's tekenen 	ENTAILMENT	subsequence	TEST
De jongens en de klimmers ontwijken 	De klimmers ontwijken 	ENTAILMENT	subsequence	TRAIL
